filename	mark	label	offset1	offset2	span	code
es-S0212-71992007000100007-1	T1	ENFERMEDAD	40	61	arterial hypertension	38341003
es-S0212-71992007000100007-1	T2	ENFERMEDAD	66	79	polyarthrosis	36186002
es-S0212-71992007000100007-1	T3	ENFERMEDAD	1682	1698	pleural effusion	60046008
es-S0212-71992007000100007-1	T4	ENFERMEDAD	1859	1875	pleural effusion	60046008
es-S0212-71992007000100007-1	T5	ENFERMEDAD	1626	1648	lower lobe atelectasis	46621007
es-S0212-71992007000100007-1	T6	ENFERMEDAD	2223	2258	infectious spondylodiscitis D10-D11	302935008
es-S0212-71992007000100007-1	T7	ENFERMEDAD	3305	3321	pleural effusion	60046008
S0004-06142005000700014-1	T1	ENFERMEDAD	452	463	brucellosis	75702008
S0004-06142005000700014-1	T2	ENFERMEDAD	656	673	orchiepididymitis	197983000
S0004-06142005000700014-1	T3	ENFERMEDAD	890	896	goitre	3716002
S0004-06142005000700014-1	T4	ENFERMEDAD	1257	1271	varicose veins	128060009
S0004-06142005000700014-1	T5	ENFERMEDAD	2478	2492	microabscesses	128477000
S0004-06142005000700014-1	T6	ENFERMEDAD	2516	2533	orchiepididymitis	197983000
S0004-06142005000700014-1	T7	ENFERMEDAD	2516	2555	orchiepididymitis secondary to Brucella	198002008+72829003
es-S0211-69952014000400020-1	T1	ENFERMEDAD	47	55	diabetic	73211009
es-S0211-69952014000400020-1	T2	ENFERMEDAD	57	62	obese	414915002
es-S0211-69952014000400020-1	T3	ENFERMEDAD	87	109	chronic kidney disease	709044004
es-S0211-69952014000400020-1	T4	ENFERMEDAD	111	114	CKD	709044004
es-S0211-69952014000400020-1	T5	ENFERMEDAD	138	146	diabetes	73211009
es-S0211-69952014000400020-1	T6	ENFERMEDAD	154	174	nephroangiosclerosis	473392002
es-S0211-69952014000400020-1	T7	ENFERMEDAD	33	45	hypertensive	38341003
es-S0211-69952014000400020-1	T8	ENFERMEDAD	852	870	infectious picture	40733004
es-S1137-66272014000300017-1	T1	ENFERMEDAD	535	542	lesions	157670007
